,artist_name,track_name,track_id,popularity,album_name,album_id,album_release_date,album_type,album_cover_url,track_duration_ms,explicit,track_number,disc_number,track_preview_url,track_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist_id,artist_uri,artist_genres,artist_popularity
924,Conoisseur,Amazing Grace,0sRjr9WPyQ8QhcJhlKbNNQ,0,Amazing Grace,35S2AFQ2IjDlZiTbZCCQYW,2018-03-30,single,https://i.scdn.co/image/ab67616d0000b27321d027db6303da6cb2bd982a,351798,False,1,1,https://p.scdn.co/mp3-preview/584e09058788ed0b87ee2b168eab6e9eab8b0f56?cid=8e61ec05c1c442aaa952d538bc311a78,spotify:track:0sRjr9WPyQ8QhcJhlKbNNQ,0.743,0.683,6,-11.367,1,0.0413,0.562,0.0305,0.072,0.507,97.999,3i2jsyyKkUxHfPYjt40B5v,spotify:artist:3i2jsyyKkUxHfPYjt40B5v,[],0
925,Coleção Feliz do Jazz,Cidade Luz,0D1XzSjxj4BLhaSAtKQ7Iy,0,"Uma Noite em Las Vegas – Jazz Instrumental Relaxante para Coquetéis, Restaurantes, Recepções, Bares e Salões de Festas",57n1pMFPBqn8rDFaq270pV,2018-10-01,album,https://i.scdn.co/image/ab67616d0000b27343c01d439dc4b86a6150f231,221165,False,2,1,https://p.scdn.co/mp3-preview/a852b8ebaca071c4a71bdbb850f4fb21f4d29da6?cid=8e61ec05c1c442aaa952d538bc311a78,spotify:track:0D1XzSjxj4BLhaSAtKQ7Iy,0.601,0.583,1,-12.184,0,0.0352,0.478,0.0116,0.113,0.706,110.067,7EF8dfsyNW1rN6triDxFuG,spotify:artist:7EF8dfsyNW1rN6triDxFuG,[],8
926,Amélia Estresse,Tranquilizar a Mente,7tyQpM3vaq3CCk9u4dETaU,0,Barulhos Relaxantes - Músicas que Acalmam a Mente,05CjMKah3Ch188eYZQ3qWx,2018-11-30,album,https://i.scdn.co/image/ab67616d0000b2738ab5e1dd40edddad6a10eb27,256000,False,21,1,https://p.scdn.co/mp3-preview/a54b4d3bfff6dea951764c4fb35e44a6363f0572?cid=8e61ec05c1c442aaa952d538bc311a78,spotify:track:7tyQpM3vaq3CCk9u4dETaU,0.179,0.0122,8,-32.261,0,0.0337,0.909,0.938,0.111,0.11,83.314,2gAUDWNlmXD6TsGXz4QmrG,spotify:artist:2gAUDWNlmXD6TsGXz4QmrG,[],4
927,James Inner,Relaxing Atmosphere,15NkCfCyQ7cRnY26lT7scb,0,World Music for Kids - Deep Sleep with Ethnic Music,2jlMFpsIoSHr2AI0Orftua,2018-07-05,album,https://i.scdn.co/image/ab67616d0000b27372630d1f731f7c392d7b0719,257000,False,6,1,https://p.scdn.co/mp3-preview/f21cd116c0db10d6e01aad326b3bf2d15ae01dda?cid=8e61ec05c1c442aaa952d538bc311a78,spotify:track:15NkCfCyQ7cRnY26lT7scb,0.353,0.147,2,-21.85,1,0.134,0.661,0.774,0.11,0.0389,138.786,5907U4mR5K2SUYcIU3IwlI,spotify:artist:5907U4mR5K2SUYcIU3IwlI,[],7
928,Antonín Dvořák,"Cello Concerto in B Minor, Op. 104, B. 191: III. Finale. Allegro moderato - Live",14sTw6yxEPxuWTWNx6QRCQ,0,DG 120 – Concertos 1 (1959-1988),3Djx3ibhgI9Gts1xUaQ2Ip,2018-10-12,compilation,https://i.scdn.co/image/ab67616d0000b2737ccd5c36501f771c6f85e4a6,822000,False,70,1,,spotify:track:14sTw6yxEPxuWTWNx6QRCQ,0.253,0.108,11,-18.268,0,0.0398,0.974,0.86,0.112,0.0678,108.254,6n7nd5iceYpXVwcx8VPpxF,spotify:artist:6n7nd5iceYpXVwcx8VPpxF,"['classical', 'czech classical', 'late romantic era']",59
929,Molvi Muhammad Umar Baloch,"Surah Ahzab, Pt. 1",6lVbbtRbw8v36lcXpsneck,0,"Quran with Balochi Translation, Vol. 01",6Jg8MtXkXwauBrsKbvwid8,2018-03-06,album,https://i.scdn.co/image/ab67616d0000b27320d8dc9db4113fb56bf5a5d7,900075,False,179,1,https://p.scdn.co/mp3-preview/4cbde2ac9fd48a3b49cc603d60a75863533cad0b?cid=8e61ec05c1c442aaa952d538bc311a78,spotify:track:6lVbbtRbw8v36lcXpsneck,0.463,0.197,5,-17.133,0,0.221,0.945,0.0,0.189,0.548,76.672,6Dxhfe0MEDkHec2CiqX7Ga,spotify:artist:6Dxhfe0MEDkHec2CiqX7Ga,[],0
930,葉柔,好想交個男朋友,12LTezOedskdTKIms7kcqp,0,我是葉柔,1Ex8YDxVaL6OIO5Gl1kLOd,2018,single,https://i.scdn.co/image/ab67616d0000b2732a15dca7ab6eee444972bb49,274376,False,2,1,https://p.scdn.co/mp3-preview/2a16f3581ea5d01e70650e8d9788b65e2237bee5?cid=8e61ec05c1c442aaa952d538bc311a78,spotify:track:12LTezOedskdTKIms7kcqp,0.721,0.79,1,-5.052,1,0.0416,0.00119,0.0314,0.0821,0.891,128.009,3kCo5hH1MFJ4EgXARlmWb0,spotify:artist:3kCo5hH1MFJ4EgXARlmWb0,[],7
931,Spa Life,Sleep System,0vRlzC6H8Q6tPgWBe232G7,0,"Natural Spa: Sounds of Nature, Piano Music, Meditation Music for Sleep, Wellness Centers and Spa",5npsZwXY14HPyJqTbcRJXz,2018-03-16,album,https://i.scdn.co/image/ab67616d0000b27311bb26ed6fb5482bff9ab55a,277999,False,18,1,https://p.scdn.co/mp3-preview/06b61bbf9f4613a6dd672fa7368ef552ec3c49c0?cid=8e61ec05c1c442aaa952d538bc311a78,spotify:track:0vRlzC6H8Q6tPgWBe232G7,0.555,0.00559,7,-24.753,0,0.0318,0.9,0.359,0.09,0.0363,86.001,2TUPY1rN1kfMsXAjSuRxwX,spotify:artist:2TUPY1rN1kfMsXAjSuRxwX,['spa'],8
932,Yoga Sounds,Quiet Water,24Ghjv07TW89xWatwiqoCL,0,52 Yoga Weekend Essentials,2YRkqLvjUfSRTsS42B1zMN,2018-01-24,compilation,https://i.scdn.co/image/ab67616d0000b273aab5a6a6d8e462ec31616722,414615,False,1,1,https://p.scdn.co/mp3-preview/06a2162bf5d3f8f8c3e10b1319cb63465550e468?cid=8e61ec05c1c442aaa952d538bc311a78,spotify:track:24Ghjv07TW89xWatwiqoCL,0.0889,0.146,0,-30.264,0,0.0581,0.955,0.912,0.129,0.254,68.981,1XZMjM5slKjmsl55IlbHCH,spotify:artist:1XZMjM5slKjmsl55IlbHCH,['sleep'],31
933,Juan Nina,Papelon,3Va8Xxn8slKPUg7rRVYevF,0,El Flow Que Yo Tengo,4qN3vQq8KMhFE56OermqN1,2018-06-03,album,https://i.scdn.co/image/ab67616d0000b27344542a11e2682fd7ea7555c1,195448,True,8,1,https://p.scdn.co/mp3-preview/7099128880d654ad594a3b103d97f0681cafa9de?cid=8e61ec05c1c442aaa952d538bc311a78,spotify:track:3Va8Xxn8slKPUg7rRVYevF,0.486,0.662,10,-6.08,0,0.304,0.408,0.0,0.174,0.478,84.549,0oa4ecELEXgu8uszZQfrCX,spotify:artist:0oa4ecELEXgu8uszZQfrCX,[],0
