,artist_name,track_name,track_id,popularity,album_name,album_id,album_release_date,album_type,track_duration_ms,explicit,track_number,disc_number,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist_id,artist_uri,artist_genres,artist_popularity
31,Grupo Ceibo,Que Vivan Las Tradiciones,6ua2Bz7kFJr1WWFcuoUOYT,17,Y Que Siga El Gusto,0QkXhAKfe5XOSkfLWDXo5m,2016-01-01,album,207186,False,8,1,0.621,0.965,4,-4.384,0,0.165,0.513,3.87e-06,0.12,0.934,169.304,1BLrfCzEwX8KyUtN2PHsfz,spotify:artist:1BLrfCzEwX8KyUtN2PHsfz,"['chilena', 'musica mixteca']",27
32,Taylor,Swimming Pool,1RRpsm8ZsBqRyJFdrpOmkX,16,Swimming Pool,6PaBHda5cdEmZjqGLawrJi,2016-08-11,single,230608,False,1,1,0.753,0.475,5,-7.804,0,0.0592,0.726,2.91e-06,0.0649,0.407,114.998,388sAC0WYTJWunGAr0P8Hj,spotify:artist:388sAC0WYTJWunGAr0P8Hj,['korean r&b'],13
33,Ali Sorena,Jaari,2EYzCCVixDxzBWfbpTBhXY,16,Negar,6nx1G3kzXoutqZJN02Dlff,2016-03-16,album,86000,False,6,1,0.777,0.666,1,-5.698,1,0.108,0.042,0.0,0.346,0.697,96.022,1gNqCEatbX4cKskpTzyAsI,spotify:artist:1gNqCEatbX4cKskpTzyAsI,"['persian hip hop', 'persian underground hip hop']",38
34,Stanton Lanier,Climb to the Sky,1mq2hnwDeg3sjjWEwaa5df,16,Climb to the Sky,0gWNcVGcrS4H8EYYujbLsn,2016-10-18,album,257277,False,6,1,0.504,0.0982,3,-22.14,1,0.041,0.993,0.895,0.176,0.0562,139.989,5v5staKWV7QHE11Xu3A5Pg,spotify:artist:5v5staKWV7QHE11Xu3A5Pg,['new age piano'],34
35,Los Rodarte,"No sé por qué, pero te amo",2GsgsHOKdjj5hkBugDT8Nn,14,"No sé por qué, pero te amo",3Ebs1qHJSgha8rgd17Vd4c,2016-05-01,single,153026,False,1,1,0.609,0.736,11,-4.432,1,0.0329,0.51,0.0,0.333,0.964,80.197,5mCFkp1QcLQe7W67MudPoj,spotify:artist:5mCFkp1QcLQe7W67MudPoj,"['grupera', 'gruperas inmortales']",49
36,Sandra,Forever,6iITSNNv55KYFg62UAuDQS,14,The Very Best Of Sandra,0Zv6sd3xXpR08QiZIRsp60,2016-05-27,compilation,224106,False,9,2,0.646,0.581,10,-8.887,1,0.0272,0.0451,0.00292,0.129,0.409,97.064,646StQO8yxIiI3niu1OHnG,spotify:artist:646StQO8yxIiI3niu1OHnG,"['eurodance', 'europop', 'italo disco']",54
37,Alex Martinez,Como Te Amo Yo,2spg48FmBcMyJip7lgq8vr,14,Asi Comienzo Yo,0eQdfgN6I1RcutxPNjMVNR,2016-06-24,album,245733,False,11,1,0.585,0.397,4,-8.06,1,0.0348,0.803,0.0,0.0836,0.633,132.252,1mI8LQvP73Y5IMXN0KstBZ,spotify:artist:1mI8LQvP73Y5IMXN0KstBZ,['vallenato moderno'],28
38,Fauve,Azulejos - Live 2015,2QUecZomaXY5fglvTnOwO6,13,150.900,4ebHJkgm3SftzzuyWm2EWW,2016-04-01,album,348226,False,20,1,0.65,0.545,4,-5.945,0,0.0344,0.0856,0.0,0.713,0.29,119.997,3Qei3mnDY6LrmJK6sYJdxo,spotify:artist:3Qei3mnDY6LrmJK6sYJdxo,"['french indie pop', 'french rock']",47
39,Rachel Novaes,Tua Graça Me Basta (Ao Vivo),3QUiDlB3l0azFm5x9K5DXu,13,Recebe a Honra,00J6hQNEDDhYnVhOlV8qDG,2016-06-20,album,314530,False,13,1,0.453,0.496,4,-8.941,1,0.0294,0.203,0.0,0.889,0.195,86.032,6gU3EmyD7Jzv8QZtiMwGRn,spotify:artist:6gU3EmyD7Jzv8QZtiMwGRn,[],43
40,Secret Garden,Song From a Secret Garden - Live,7i9GHujpOfZVcZRwEqHZlh,13,Live at Kilden: 20th Anniversary Concert,15Lw7cBzXCBCc5ZdWwj1to,2016-09-09,album,192280,False,16,1,0.179,0.462,0,-9.854,0,0.0636,0.934,0.952,0.977,0.0469,85.369,6GUg2fRLklsnSJsG3PrTt0,spotify:artist:6GUg2fRLklsnSJsG3PrTt0,"['bow pop', 'neoclassical darkwave', 'new age', 'operatic pop']",53
41,Nunatak,Solos,3KmI8uH2Er6sSSB3EFY1yT,13,Nunatak y el pulso infinito,3xSdujl8KCWA7J1CwdYHQB,2016-06-30,album,155320,False,9,1,0.593,0.206,1,-9.785,1,0.0427,0.797,1.81e-05,0.352,0.119,121.867,7wqxTrC9BtdVj2G6j9PP7z,spotify:artist:7wqxTrC9BtdVj2G6j9PP7z,"['murcia indie', 'spanish modern rock']",34
42,Frank Sinatra,"You Make Me Feel So Young - Live At The Sporting Club, Monte Carlo/1958",15hutKRwAR8erqojRhaAgt,13,World On A String (Live),3D4FYzqPi2LqJWyfsY1ZdI,2016-08-26,album,191560,False,16,1,0.394,0.5,4,-13.123,1,0.207,0.859,0.0,0.678,0.766,138.538,1Mxqyy3pSjf8kZZL4QVxS0,spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0,"['adult standards', 'easy listening', 'lounge']",74
43,Suresh Wadkar,"Sajana Mohana Rajasa (From ""Khatyal Sasu Nathal Sun"")",6aSkMGyIeDUfY5k0f2hEFH,12,Hridayi Vasant Phulatana and Other Marathi Love Songs,4JdXNNA7r8dlnyHA8GpCfB,2016-04-25,compilation,301194,False,10,1,0.422,0.636,7,-9.498,1,0.0409,0.817,0.00102,0.544,0.77,93.301,0w4e7HVbqAHFPN6VkIlvhe,spotify:artist:0w4e7HVbqAHFPN6VkIlvhe,"['bhajan', 'classic bollywood', 'filmi', 'garhwali pop', 'hare krishna']",59
44,Laura Platt,"Orchestral Suite (From ""Ori and the Blind Forest""): Thornfelt Swamp / Home Of the Gumon / Escaping the Ruins",5TGkYV5WKWPHTcLTgo0psr,12,Reflections of Another World,04g4IbbUMSzAEzz2gldHUf,2016-08-22,album,236990,False,3,1,0.422,0.393,6,-15.58,0,0.0356,0.881,0.733,0.0714,0.367,153.997,2K1Ps7vnKg2AnKsSoVqH4P,spotify:artist:2K1Ps7vnKg2AnKsSoVqH4P,['scorecore'],31
45,Twinkle Twinkle Little Star,Twinkle Twinkle Little Star,2oAPf8cAXkkixvrvHKVCQ2,12,Kids Music,5v2xFijLMV0H1selvq9PKd,2016-11-12,album,35052,False,22,1,0.588,0.753,5,-4.227,0,0.0362,0.155,0.857,0.0997,0.169,118.322,0ZsOdbAgZ60UYsgKCUzJKY,spotify:artist:0ZsOdbAgZ60UYsgKCUzJKY,['lullaby'],45
46,Fréro Delavega,Le chant des sirènes 2 - Acoustic,5WgdNOIt74QCdjRSBrxRap,11,Des ombres et des lumières - Live à l'Olympia / 2016,29AWK7mk7bfJ6QR2CX1fUX,2016-12-02,album,182240,False,15,1,0.69,0.289,3,-10.752,1,0.0367,0.915,0.0,0.124,0.306,119.939,6bebPrkEPr2xEkiHP3QkNT,spotify:artist:6bebPrkEPr2xEkiHP3QkNT,"['chanson', 'french pop']",51
47,Gruselkabinett,Kapitel 29 - Folge 114/115: Der Ruf des Cthulhu (komplett),7aepE6LGOpPlU9GpcyLPug,11,Folge 114/115: Der Ruf des Cthulhu (komplett),5Gl96yCUKH34WjoW9DiSBQ,2016-09-09,album,180006,False,29,1,0.522,0.403,11,-20.282,1,0.955,0.506,0.0,0.62,0.574,84.378,3Y8Wq2s2COAGIMVXhXwroz,spotify:artist:3Y8Wq2s2COAGIMVXhXwroz,['hoerspiel'],49
48,Maher Zain,So Real,66g33xnnYHeZ6Ua2SMiCQU,11,D'MASIV with Raef,1UPqDeriD3JVt39dLR4b9s,2016-06-22,album,237425,False,7,1,0.761,0.674,8,-4.608,1,0.0519,0.476,1.93e-06,0.1,0.555,67.483,6PUZZX4GCzeFS0GaDWxVwz,spotify:artist:6PUZZX4GCzeFS0GaDWxVwz,"['nasheed', 'rif', 'sholawat']",64
49,Cristóbal Jiménez,El Ultimo Coplero,1k4DojfzkRGQgMSwD94tPp,11,Esencia y Estilo: Cristobal Jimenez,5JK90VtnTploTWr5EnF0EC,2016-02-26,album,209480,False,7,1,0.63,0.752,1,-5.975,1,0.0351,0.78,0.000113,0.0492,0.964,77.759,5eZtiz4bZtYxuzlMWuTHX9,spotify:artist:5eZtiz4bZtYxuzlMWuTHX9,"['classic venezuelan pop', 'musica llanera']",30
50,WiFiGawd,Lil Saks Fith,0yDI6Zq2BDGYKxt7BQgthj,10,WiFi Season,5XZEBVLULKOUyR5YMtZw2D,2016-12-19,album,229537,True,3,1,0.793,0.725,2,-6.888,1,0.178,0.243,0.0,0.228,0.565,90.0,2tM4YvbGRPeHpxdD6PqLwe,spotify:artist:2tM4YvbGRPeHpxdD6PqLwe,"['cloud rap', 'plugg']",35
51,Tim Dup,TER Centre - EP version,1r68wTMwfTcxcfmDaqNFQ9,10,TER Centre,6XvNhQldgOv4aEzzPA4c1D,2016-04-27,single,238653,False,1,1,0.448,0.144,0,-16.148,0,0.382,0.879,1.2e-06,0.104,0.478,53.444,2Ksaxtwx8hMgjUkzIoGDXE,spotify:artist:2Ksaxtwx8hMgjUkzIoGDXE,"['french indie pop', 'nouvelle chanson francaise']",41
52,Humberto & Ronaldo,Bate Que Agora Eu Aguento - Ao Vivo,79U8Qmvmh884SrpfNexkC9,10,Playlist (Ao Vivo),2RFrKt3YIeDuHMKtpTf9en,2016-05-13,album,157080,False,22,1,0.639,0.7,11,-3.249,1,0.0369,0.43,0.0,0.337,0.662,134.922,1zEo6Fk1iaaOYFlFPBHCFn,spotify:artist:1zEo6Fk1iaaOYFlFPBHCFn,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']",67
53,PROSE,All Of Those Tears,05D4yIT1S96TqPO952dL8a,9,Home Of The Brave (Deluxe),4xNK0h0lz7RpARhakxBA6v,2016-07-08,album,226920,True,13,1,0.535,0.918,8,-2.468,0,0.105,0.00311,4.01e-06,0.142,0.528,86.783,4T21ltj5pF62zndMRAs1sR,spotify:artist:4T21ltj5pF62zndMRAs1sR,[],17
54,闫东炜,烟火与告白,2ktlnQHkKlF9mPcmSDFfMc,9,小清新与小情绪,0OYD7nWMRgg86fnQCnKIVs,2016-04-14,album,240047,False,6,1,0.55,0.752,1,-7.539,1,0.0266,0.221,0.168,0.211,0.433,92.997,6zJFbGOd2Uctqae7gWQCoO,spotify:artist:6zJFbGOd2Uctqae7gWQCoO,[],27
55,Charlie Parker,Okiedoke,5bhFrdddrahPnWXJgQPDJv,8,Unheard Bird: The Unissued Takes,3NshNBpoAYeMTestITa6OJ,2016-01-01,album,185253,False,5,1,0.594,0.734,10,-6.849,1,0.0438,0.919,0.68,0.199,0.73,106.512,4Ww5mwS7BWYjoZTUIrMHfC,spotify:artist:4Ww5mwS7BWYjoZTUIrMHfC,"['bebop', 'contemporary post-bop', 'cool jazz', 'jazz', 'jazz saxophone', 'vocal jazz']",49
56,Johann König,"Kapitel 73 - Kinder sind was Wunderbares, das muss man sich nur immer wieder sagen",0JVaqaPG6QvHDDWUXb95tv,8,"Kinder sind was Wunderbares, das muss man sich nur immer wieder sagen (Gekürzte Lesung)",603lVZ3ABZBgAAPc4UH3Xy,2016-03-14,album,180010,False,73,1,0.641,0.15,10,-12.9,1,0.952,0.609,0.0,0.127,0.215,164.931,7ITxLHvYb8l2MGyf6CFLpm,spotify:artist:7ITxLHvYb8l2MGyf6CFLpm,['kabarett'],40
