artist_name,track_name,track_id,popularity,album_name,album_id,album_release_date,album_type,track_duration_ms,explicit,track_number,disc_number,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist_id,artist_uri,artist_genres,artist_popularity
Cafe Music,Urbane Moods for Coffee To Go,2N8x5Pgd1ewF0VPQyYq5gN,0,Music for Deep Work - Playful Sax Jazz,5ggeGMxpj6jSxR63YYs5o5,2021-10-25,album,111163,False,17,1,0.756,0.194,0,-15.592,0,0.0893,0.991,0.929,0.0885,0.319,94.763,7e8i9ER18JalGX0cY1m4SO,spotify:artist:7e8i9ER18JalGX0cY1m4SO,[],19
Relax Chillout Lounge,Swanky Ambience for Co Working Spaces,79bUCvywAp6DQKP4ddgkbd,0,Music for Co Working Spaces,1lgc77ojeqCfIGfFawXsY1,2021-12-23,album,125294,False,19,1,0.779,0.0926,5,-21.995,0,0.059,0.865,0.908,0.109,0.32,68.963,46XfoFZuBAB4vXkJcoyU0q,spotify:artist:46XfoFZuBAB4vXkJcoyU0q,[],27
Wayman Tisdale,Can't Hide Love,6bGS68FyN5SVz5I8bkXaNL,0,Best Jazz with a Soul,4FoAfpjtFBGb5q53XSm2RX,2021-10-01,compilation,224266,False,8,1,0.539,0.644,5,-7.407,0,0.0399,0.236,0.778,0.114,0.782,78.311,3h25qUbua6H0dcBJgDPg5c,spotify:artist:3h25qUbua6H0dcBJgDPg5c,['smooth jazz'],33
Mystical Guide,Om Chant - Original Mix,76JqhCsELJABRIqyCYsJDA,0,A Yogic Bondage With Yoga,3F4RaO9ckZcbleKfJL1HYA,2021-03-19,compilation,198857,False,31,1,0.0921,0.17,4,-19.596,1,0.0379,0.989,0.0253,0.131,0.0369,84.31,3Zbu8foesFcU4CoO3iAWUJ,spotify:artist:3Zbu8foesFcU4CoO3iAWUJ,[],21
Mama Noise,Babies Calm Blissful Sleep Noise,43KY8z090uwLrlPL7g3XpZ,0,Restful Cosy Sleep Noises for Light Sleeping Babies,4kYlRoWtdzHctLUZkGlF2h,2021-05-01,album,65000,False,3,1,0.167,0.587,1,-24.12,1,0.0761,0.827,0.887,0.327,0.0243,56.411,3MmnA51OpjqVE8HAbEXsl0,spotify:artist:3MmnA51OpjqVE8HAbEXsl0,[],0
Shiroi-Ice,"Intro:夜明け,到着!",0w3gx8JuT0dJgTynfCCZIX,0,Here!! ~In the Day,7KudZqqLKiOTsCYBBt5s9Q,2021-12-12,single,91346,False,1,1,0.548,0.749,2,-4.645,1,0.0269,0.016,0.0772,0.247,0.0399,101.988,0eTzK83NfrImJMAs06rlnQ,spotify:artist:0eTzK83NfrImJMAs06rlnQ,[],13
Kingston Hughes,The Way We Fell In Love,4pzKaw6pIvfUz1QUGxjFXD,0,From the Concrete (Real Ones Deluxe),6vJ7hB1Nc6VwBo0FdJOGDt,2021-01-01,album,180036,False,4,1,0.622,0.623,11,-6.579,1,0.153,0.45,9.59e-05,0.188,0.665,147.051,0LW3em2kbuPV4uvyTYBP7L,spotify:artist:0LW3em2kbuPV4uvyTYBP7L,[],1
Dan Foster,In the Beginning,0QaBDg5Av4eoy84UdaW2i6,0,"Dark Suspense, Set 41",2nQSKdqAwTjWz0LIXGnHmv,2021-09-13,compilation,156903,False,16,1,0.602,0.623,2,-9.475,1,0.0432,0.364,0.952,0.109,0.0317,119.96,1OMprBJjoreV4TnA7sQ8XR,spotify:artist:1OMprBJjoreV4TnA7sQ8XR,[],11
Atm Manny,Gang,7c2KVD2kG1JGU4vT2nxDO1,0,Gang,6eptp07554v4GrKJjk54j4,2021-10-12,single,192696,True,1,1,0.897,0.458,7,-13.918,0,0.342,0.22,1.36e-06,0.155,0.739,140.07,0Q348mYbigC7psI4WbJHgu,spotify:artist:0Q348mYbigC7psI4WbJHgu,[],0
Entspannungsmusik zum Einschlafen,Musik als Einschlafhilfe und zur Regeneration Teil 72,5PFS69O0bwCrFFNEDnMy5Y,0,"! ! ! ! ! Musik als Einschlafhilfe, zum Durchschlafen und zur Regeneration",0UKThSBXt2TnpsGeddqrtl,2021-11-21,album,129712,False,72,1,0.182,0.0248,9,-33.833,0,0.0386,0.806,0.888,0.0882,0.0518,98.806,4928uHEq2NW0bf3b5Zb3Y3,spotify:artist:4928uHEq2NW0bf3b5Zb3Y3,[],24
